word,POS,NEG,value,prop
난투극,0.0,1.0,NEG,1.0
난해,0.0,1.0,NEG,1.0
날,0.0,0.5,COMP,0.5
날씬,1.0,0.0,POS,1.0
날카롭,1.0,0.0,POS,1.0
남,0.25,0.75,NEG,0.75
남녀,1.0,0.0,POS,1.0
남미,1.0,0.0,POS,1.0
남발,0.0,1.0,NEG,1.0
남방,0.0,0.0,NEUT,1.0
남산,1.0,0.0,POS,1.0
남성,1.0,0.0,POS,1.0
남자,0.0,1.0,NEG,1.0
남쪽,0.0,0.0,NEUT,1.0
남편,0.25,0.75,NEG,0.75
남한,1.0,0.0,POS,1.0
납득,0.0,1.0,NEG,1.0
낫,1.0,0.0,POS,1.0
낭랑,1.0,0.0,POS,1.0
낮,0.0,1.0,NEG,1.0
낮추,0.5,0.5,NEG,0.5
낯익,1.0,0.0,POS,1.0
낳,0.0,1.0,NEG,1.0
내,0.0,1.0,NEG,1.0
내걸,1.0,0.0,POS,1.0
내내,0.0,1.0,NEG,1.0
내년,1.0,0.0,POS,1.0
내놓,0.75,0.25,POS,0.75
내다보이,0.0,1.0,NEG,1.0
내려오,1.0,0.0,POS,1.0
내리,0.0,0.0,None,1.0
내맘,1.0,0.0,POS,1.0
내면,0.0,0.0,COMP,1.0
내밀,0.0,1.0,NEG,1.0
내버리,0.0,1.0,NEG,1.0
내부,0.0,1.0,NEG,1.0
내성,1.0,0.0,POS,1.0
내세우,1.0,0.0,POS,1.0
내실,1.0,0.0,POS,1.0
내용,0.666666667,0.333333333,POS,0.666666667
내용물,1.0,0.0,POS,1.0
내일,0.0,1.0,NEG,1.0
내지,0.0,0.0,None,1.0
내치,0.0,0.0,None,1.0
내포,0.0,1.0,NEG,1.0
냄새,0.0,1.0,NEG,1.0
냉소,0.0,1.0,NEG,1.0
냉정,0.0,1.0,NEG,1.0
냐,1.0,0.0,POS,1.0
냐는,0.0,1.0,NEG,1.0
너무,0.14285714300000002,0.7142857140000001,NEG,0.7142857140000001
너무나,0.0,0.75,NEG,0.75
너희,0.5,0.5,NEG,0.5
널리,1.0,0.0,POS,1.0
넓,1.0,0.0,POS,1.0
넘,0.0,1.0,NEG,1.0
넘기,1.0,0.0,POS,1.0
넘어서,0.8,0.0,POS,0.8
넘치,1.0,0.0,POS,1.0
넣,0.0,1.0,NEG,1.0
네,0.0,0.5,NEG,0.5
네요,0.0,1.0,NEG,1.0
년,0.272727273,0.636363636,NEG,0.636363636
년대,1.0,0.0,POS,1.0
노골,0.0,1.0,NEG,1.0
노동,0.0,1.0,NEG,1.0
노동자,0.5,0.5,NEG,0.5
노래,0.5,0.25,POS,0.5
노려보,0.0,1.0,NEG,1.0
노력,1.0,0.0,POS,1.0
노면,0.0,1.0,NEG,1.0
노안,1.0,0.0,POS,1.0
노예,0.0,1.0,NEG,1.0
노을,1.0,0.0,POS,1.0
녹,1.0,0.0,POS,1.0
녹슬,0.0,1.0,NEG,1.0
녹아내리,1.0,0.0,POS,1.0
녹음,1.0,0.0,POS,1.0
논란,0.0,0.8,NEG,0.8
논리,0.0,1.0,NEG,1.0
논의,1.0,0.0,POS,1.0
논쟁점,1.0,0.0,POS,1.0
논점,0.0,0.0,COMP,1.0
논하,0.0,0.0,NEUT,1.0
놀라,0.0,0.0,NEUT,1.0
놀랍,0.333333333,0.333333333,NEG,0.333333333
놈,0.0,1.0,NEG,1.0
농법,1.0,0.0,POS,1.0
농사,1.0,0.0,POS,1.0
농업,0.0,1.0,NEG,1.0
농촌,0.0,1.0,NEG,1.0
높,0.48,0.4,POS,0.48
높이,1.0,0.0,POS,1.0
놓,0.5,0.5,NEG,0.5
놓치,0.0,1.0,NEG,1.0
뇌,0.0,0.0,NEUT,1.0
누구,0.0,1.0,NEG,1.0
누리,1.0,0.0,POS,1.0
누설,0.0,1.0,NEG,1.0
누아르,1.0,0.0,POS,1.0
눈,0.5,0.35714285700000004,POS,0.5
눈길,1.0,0.0,POS,1.0
눈물,0.0,1.0,NEG,1.0
눈부시,1.0,0.0,POS,1.0
눈여겨보,1.0,0.0,POS,1.0
눈치,0.0,1.0,NEG,1.0
뉴스,1.0,0.0,POS,1.0
느끼,0.666666667,0.25,POS,0.666666667
느낌,0.8,0.2,POS,0.8
느냐,0.0,0.0,None,1.0
느냐고,0.5,0.5,NEG,0.5
느라,0.0,1.0,NEG,1.0
는,0.0,1.0,NEG,1.0
는가,0.0,0.0,None,1.0
는다,0.5,0.5,NEG,0.5
는다는,1.0,0.0,POS,1.0
는다면,1.0,0.0,POS,1.0
는데,0.272727273,0.272727273,None,0.363636364
는지,0.333333333,0.166666667,None,0.333333333
늘,0.8,0.2,POS,0.8
늘어나,1.0,0.0,POS,1.0
능력,1.0,0.0,POS,1.0
능숙,0.5,0.5,NEG,0.5
능욕,0.0,1.0,NEG,1.0
늦,0.0,1.0,NEG,1.0
늦추,0.5,0.0,COMP,0.5
니,0.333333333,0.0,None,0.666666667
니까,0.5,0.0,None,0.5
님,0.0,1.0,NEG,1.0
다,1.0,0.0,POS,1.0
다가,0.0,0.5,NEG,0.5
다가가,1.0,0.0,POS,1.0
다가오,0.666666667,0.333333333,POS,0.666666667
다각,1.0,0.0,POS,1.0
다각도,1.0,0.0,POS,1.0
다거나,0.0,0.0,None,1.0
다고,0.28571428600000004,0.35714285700000004,NEG,0.35714285700000004
다는,0.35,0.4,NEG,0.4
다는데,1.0,0.0,POS,1.0
다니,0.0,1.0,NEG,1.0
다르,1.0,0.0,POS,1.0
다른,0.666666667,0.333333333,POS,0.666666667
다리,0.0,1.0,NEG,1.0
